"","Plot.ID","Species","n","rel.freq","Class"
"1","BA1",NA,1,"100%","Canopy"
"2","BA10","Chestnut oak",6,"75%","Canopy"
"3","BA10","Hickory",1,"12%","Canopy"
"4","BA10","Red maple",1,"12%","Canopy"
"5","BA11","Chestnut oak",2,"20%","Canopy"
"6","BA11","Hickory",2,"20%","Canopy"
"7","BA11","Red maple",2,"20%","Canopy"
"8","BA11","Red oak",1,"10%","Canopy"
"9","BA11","Sweet birch",2,"20%","Canopy"
"10","BA11","White pine",1,"10%","Canopy"
"11","BA12","Eastern redcedar",1,"17%","Canopy"
"12","BA12","Red maple",2,"33%","Canopy"
"13","BA12","Tulip poplar",3,"50%","Canopy"
"14","BA13","Black locust",1,"17%","Canopy"
"15","BA13","Eastern redcedar",1,"17%","Canopy"
"16","BA13","Tulip poplar",1,"17%","Canopy"
"17","BA13","Virginia pine",3,"50%","Canopy"
"18","BA13A","Hickory",1,"17%","Canopy"
"19","BA13A","Red maple",1,"17%","Canopy"
"20","BA13A","Tulip poplar",2,"33%","Canopy"
"21","BA13A","Virginia pine",1,"17%","Canopy"
"22","BA13A","White oak",1,"17%","Canopy"
"23","BA14",NA,1,"100%","Canopy"
"24","BA15",NA,1,"100%","Canopy"
"25","BA2","Eastern hemlock",1,"12%","Canopy"
"26","BA2","Red maple",2,"25%","Canopy"
"27","BA2","Red oak",1,"12%","Canopy"
"28","BA2","Sweet birch",1,"12%","Canopy"
"29","BA2","Tulip poplar",1,"12%","Canopy"
"30","BA2","White oak",1,"12%","Canopy"
"31","BA2","White pine",1,"12%","Canopy"
"32","BA3","Hickory",3,"50%","Canopy"
"33","BA3","Tulip poplar",1,"17%","Canopy"
"34","BA3","White oak",2,"33%","Canopy"
"35","BA4","Black walnut",1,"14%","Canopy"
"36","BA4","Hickory",5,"71%","Canopy"
"37","BA4","Post oak",1,"14%","Canopy"
"38","BA5","Black oak",1,"17%","Canopy"
"39","BA5","Hickory",2,"33%","Canopy"
"40","BA5","Red maple",2,"33%","Canopy"
"41","BA5","Tulip poplar",1,"17%","Canopy"
"42","BA6",NA,1,"100%","Canopy"
"43","BA7","Black oak",1,"9%","Canopy"
"44","BA7","Blackgum",1,"9%","Canopy"
"45","BA7","Red oak",1,"9%","Canopy"
"46","BA7","Tulip poplar",1,"9%","Canopy"
"47","BA7","White pine",7,"64%","Canopy"
"48","BA8","Black oak",1,"12%","Canopy"
"49","BA8","Red maple",2,"25%","Canopy"
"50","BA8","Tulip poplar",4,"50%","Canopy"
"51","BA8","White pine",1,"12%","Canopy"
"52","BA9",NA,1,"100%","Canopy"
"53","BH1",NA,1,"100%","Canopy"
"54","BH10","Hickory",5,"62%","Canopy"
"55","BH10","Red oak",2,"25%","Canopy"
"56","BH10","White oak",1,"12%","Canopy"
"57","BH11","Hickory",3,"75%","Canopy"
"58","BH11","Mulberry",1,"25%","Canopy"
"59","BH12","Hickory",2,"40%","Canopy"
"60","BH12","Persimmon",1,"20%","Canopy"
"61","BH12","White oak",2,"40%","Canopy"
"62","BH2",NA,1,"100%","Canopy"
"63","BH3",NA,1,"100%","Canopy"
"64","BH4",NA,1,"100%","Canopy"
"65","BH5","Hickory",2,"50%","Canopy"
"66","BH5","Red oak",1,"25%","Canopy"
"67","BH5","White oak",1,"25%","Canopy"
"68","BH6",NA,1,"100%","Canopy"
"69","BH7",NA,1,"100%","Canopy"
"70","BH8","Blackgum",1,"25%","Canopy"
"71","BH8","Hickory",3,"75%","Canopy"
