"","OBJECTID","Field1","ID","Species","n","freq","Class","X","Y"
"68",72,72,"BH9","Ailanthus",1,"25%","Canopy",-78.1879161,38.58195625
"127",131,131,"BU4","Ailanthus",1,"33%","Canopy",-78.17609277,38.57524744
"132",136,136,"BU8","Ailanthus",4,"44%","Canopy",-78.18484856,38.57288159
"145",160,160,"CR12","Ailanthus",3,"27%","Canopy",-78.219012,38.564658
"168",183,183,"FL1","Ailanthus",3,"50%","Canopy",-78.20325722,38.63546991
"172",187,187,"FL10","Ailanthus",1,"12%","Canopy",-78.20475436,38.63386269
"191",206,206,"FL4","Ailanthus",4,"40%","Canopy",-78.20539943,38.63129704
"269",286,286,"HW11","Ailanthus",1,"14%","Canopy",-78.19808123,38.58463793
"302",319,319,"JM12","Ailanthus",2,"50%","Canopy",-78.217433,38.609884
"346",363,363,"PT4","Ailanthus",1,"17%","Canopy",-78.21408207,38.63444792
"352",369,369,"PT6","Ailanthus",2,"50%","Canopy",-78.21278701,38.6329028
"362",379,379,"QW10","Ailanthus",1,"12%","Canopy",-78.19268741,38.57015683
"376",393,393,"QW7","Ailanthus",1,"14%","Canopy",-78.19118852,38.57227392
"379",396,396,"QW8","Ailanthus",6,"86%","Canopy",-78.19290446,38.57338422
"387",404,404,"RK10","Ailanthus",2,"40%","Canopy",-78.222795,38.550032
"399",416,416,"RK3","Ailanthus",1,"33%","Canopy",-78.222398,38.548961
"460",477,477,"SL1","Ailanthus",1,"20%","Canopy",-78.19477034,38.62236176
"516",533,533,"SM7","Ailanthus",1,"17%","Canopy",-78.20880512,38.58880261
"562",579,579,"SMS4","Ailanthus",1,"14%","Canopy",-78.20462425,38.58263361
"578",595,595,"WM1","Ailanthus",2,"18%","Canopy",-78.212743,38.542724
"587",604,604,"WM12","Ailanthus",2,"33%","Canopy",-78.209145,38.557582
"601",618,618,"WM3","Ailanthus",3,"30%","Canopy",-78.217219,38.542496
"602",619,618,"WM3","Ailanthus",3,"30%","Canopy",-78.21383,38.547947
