"","OBJECTID","Field1","ID","Species","n","freq","Class","X","Y"
"9",9,9,"BA11","Sweet birch",2,"20%","Canopy",-78.176861,38.5542
"24",28,28,"BA2","Sweet birch",1,"12%","Canopy",-78.186778,38.549867
"69",73,73,"BH9","Sweet birch",1,"25%","Canopy",-78.1879161,38.58195625
"73",77,77,"BN1","Sweet birch",2,"22%","Canopy",-78.16694849,38.58688147
"89",93,93,"BN14","Sweet birch",3,"43%","Canopy",-78.16926998,38.5863201
"111",115,115,"BN6","Sweet birch",1,"20%","Canopy",-78.16906067,38.58941263
"115",119,119,"BN8","Sweet birch",1,"11%","Canopy",-78.16820377,38.58983726
"189",204,204,"FL3","Sweet birch",1,"8%","Canopy",-78.20692369,38.63291757
"232",247,247,"FM7","Sweet birch",1,"33%","Canopy",-78.20720401,38.62486471
"240",255,255,"FM9","Sweet birch",11,"41%","Canopy",-78.20198681,38.6277055
"258",275,275,"GS6","Sweet birch",4,"40%","Canopy",-78.180108,38.543187
"267",284,284,"HW10","Sweet birch",4,"67%","Canopy",-78.19806542,38.58738005
"290",307,307,"HW7","Sweet birch",1,"17%","Canopy",-78.1954092,38.58320865
"295",312,312,"HW9","Sweet birch",2,"25%","Canopy",-78.19471473,38.58482218
"315",332,332,"JM17","Sweet birch",2,"29%","Canopy",-78.222802,38.609037
"327",344,344,"JM4","Sweet birch",1,"14%","Canopy",-78.222904,38.610793
"340",357,357,"JM9","Sweet birch",1,"10%","Canopy",-78.2252,38.609651
"377",394,394,"QW7","Sweet birch",1,"14%","Canopy",-78.19118852,38.57227392
"458",475,475,"RMM8","Sweet birch",1,"50%","Canopy",-78.19918648,38.60010032
"466",483,483,"SL12","Sweet birch",3,"50%","Canopy",-78.19853844,38.61886169
"471",488,488,"SL2","Sweet birch",3,"60%","Canopy",-78.19612753,38.62125195
"480",497,497,"SL4","Sweet birch",4,"40%","Canopy",-78.19612502,38.61897473
"485",502,502,"SL5","Sweet birch",2,"33%","Canopy",-78.19477474,38.61786737
"523",540,540,"SM9","Sweet birch",3,"43%","Canopy",-78.20029856,38.59130149
"549",566,566,"SMH9","Sweet birch",1,"9%","Canopy",-78.19606692,38.59254544
"561",578,578,"SMS3","Sweet birch",1,"50%","Canopy",-78.20641206,38.58132046
"564",581,581,"SMS4","Sweet birch",1,"14%","Canopy",-78.20462425,38.58263361
"569",586,586,"SMS6","Sweet birch",3,"33%","Canopy",-78.20270522,38.58126096
"573",590,590,"SMS7","Sweet birch",4,"57%","Canopy",-78.20095706,38.58259881
