"","OBJECTID","Field1","ID","Species","n","freq","Class","X","Y"
"403",420,420,"RK4","Shagwood hickory",2,"22%","Canopy",-78.221328,38.550192
"3",3,3,"BA10","Hickory",1,"12%","Canopy",-78.178317,38.555405
"6",6,6,"BA11","Hickory",2,"20%","Canopy",-78.176861,38.5542
"14",18,18,"BA13A","Hickory",1,"17%","Canopy",-78.179579,38.550865
"28",32,32,"BA3","Hickory",3,"50%","Canopy",-78.189005,38.548276
"32",36,36,"BA4","Hickory",5,"71%","Canopy",-78.185226,38.552771
"35",39,39,"BA5","Hickory",2,"33%","Canopy",-78.18802,38.5543
"50",54,54,"BH10","Hickory",5,"62%","Canopy",-78.18865501,38.58322526
"53",57,57,"BH11","Hickory",3,"75%","Canopy",-78.18845702,38.5846322
"55",59,59,"BH12","Hickory",2,"40%","Canopy",-78.19000499,38.5841209
"61",65,65,"BH5","Hickory",2,"50%","Canopy",-78.18864891,38.57920457
"67",71,71,"BH8","Hickory",3,"75%","Canopy",-78.18821994,38.58057698
"80",84,84,"BN11","Hickory",1,"20%","Canopy",-78.17227227,38.58382048
"87",91,91,"BN14","Hickory",1,"14%","Canopy",-78.16926998,38.5863201
"92",96,96,"BN15","Hickory",1,"20%","Canopy",-78.1728146,38.58511498
"95",99,99,"BN2","Hickory",1,"33%","Canopy",-78.17054423,38.5855242
"97",101,101,"BN3","Hickory",2,"67%","Canopy",-78.17397497,38.58400707
"100",104,104,"BN4","Hickory",2,"33%","Canopy",-78.17604931,38.58680683
"105",109,109,"BN5","Hickory",1,"10%","Canopy",-78.17263268,38.58810222
"110",114,114,"BN6","Hickory",1,"20%","Canopy",-78.16906067,38.58941263
"124",128,128,"BU10","Hickory",5,"83%","Canopy",-78.17936884,38.57299552
"126",130,130,"BU3","Hickory",3,"100%","Canopy",-78.17728686,38.57716045
"137",141,141,"BU9","Hickory",1,"17%","Canopy",-78.18492793,38.56794906
"151",166,166,"CR2","Hickory",3,"30%","Canopy",-78.211759,38.564195
"156",171,171,"CR3","Hickory",3,"60%","Canopy",-78.212646,38.562205
"158",173,173,"CR4","Hickory",2,"33%","Canopy",-78.215285,38.563199
"174",189,189,"FL10","Hickory",2,"25%","Canopy",-78.20475436,38.63386269
"184",199,199,"FL2","Hickory",1,"25%","Canopy",-78.20518141,38.63400567
"187",202,202,"FL3","Hickory",2,"15%","Canopy",-78.20692369,38.63291757
"193",208,208,"FL4","Hickory",3,"30%","Canopy",-78.20539943,38.63129704
"196",211,211,"FL5","Hickory",1,"25%","Canopy",-78.20706672,38.63029763
"217",232,232,"FM2","Hickory",1,"25%","Canopy",-78.20525799,38.62232039
"222",237,237,"FM4","Hickory",2,"25%","Canopy",-78.20431593,38.62630573
"226",241,241,"FM5","Hickory",1,"50%","Canopy",-78.20632015,38.62872779
"237",252,252,"FM9","Hickory",1,"4%","Canopy",-78.20198681,38.6277055
"242",259,259,"GS3","Hickory",2,"29%","Canopy",-78.172286,38.545508
"257",274,274,"GS6","Hickory",1,"10%","Canopy",-78.180108,38.543187
"266",283,283,"HW10","Hickory",1,"17%","Canopy",-78.19806542,38.58738005
"272",289,289,"HW12","Hickory",3,"38%","Canopy",-78.19631707,38.58373775
"278",295,295,"HW3","Hickory",1,"25%","Canopy",-78.19851357,38.58663849
"281",298,298,"HW4","Hickory",1,"17%","Canopy",-78.19673378,38.58442414
"307",324,324,"JM14","Hickory",6,"86%","Canopy",-78.221769,38.606957
"310",327,327,"JM16","Hickory",1,"14%","Canopy",-78.226217,38.605819
"314",331,331,"JM17","Hickory",3,"43%","Canopy",-78.222802,38.609037
"320",337,337,"JM3","Hickory",6,"46%","Canopy",-78.22677,38.607791
"335",352,352,"JM8","Hickory",1,"10%","Canopy",-78.22781,38.609893
"339",356,356,"JM9","Hickory",3,"30%","Canopy",-78.2252,38.609651
"347",364,364,"PT4","Hickory",2,"33%","Canopy",-78.21408207,38.63444792
"372",389,389,"QW3","Hickory",2,"100%","Canopy",-78.18986273,38.56997318
"391",408,408,"RK11","Hickory",1,"17%","Canopy",-78.21937,38.548485
"401",418,418,"RK4","Hickory",4,"44%","Canopy",-78.221328,38.550192
"419",436,436,"RMH10","Hickory",3,"60%","Canopy",-78.19841997,38.60513669
"422",439,439,"RMH2","Hickory",1,"14%","Canopy",-78.19528747,38.60379676
"429",446,446,"RMH4","Hickory",4,"57%","Canopy",-78.1987684,38.60361962
"436",453,453,"RMH8","Hickory",2,"40%","Canopy",-78.19751883,38.59819537
"450",467,467,"RMM3","Hickory",2,"40%","Canopy",-78.19924615,38.60344121
"473",490,490,"SL3","Hickory",1,"12%","Canopy",-78.19480652,38.62012551
"502",519,519,"SM14","Hickory",1,"20%","Canopy",-78.2024675,38.59140869
"534",551,551,"SMH4","Hickory",2,"22%","Canopy",-78.19568937,38.59288103
"539",556,556,"SMH6","Hickory",3,"50%","Canopy",-78.19499268,38.59339084
"541",558,558,"SMH7","Hickory",2,"50%","Canopy",-78.19469286,38.59201311
"543",560,560,"SMH8","Hickory",1,"20%","Canopy",-78.19525866,38.59151318
"554",571,571,"SMH2A","Hickory",2,"25%","Canopy",-78.19577,38.59363
"568",585,585,"SMS6","Hickory",1,"11%","Canopy",-78.20270522,38.58126096
"597",614,614,"WM15","Hickory",2,"40%","Canopy",-78.216761,38.550086
"611",628,626,"WM6","Hickory",3,"60%","Canopy",-78.205809,38.55837
"616",633,631,"WM8","Hickory",1,"17%","Canopy",-78.214997,38.55092
