"","OBJECTID","Field1","ID","Species","n","freq","Class","X","Y"
"13",13,13,"BA12","Tulip poplar",3,"50%","Canopy",-78.178147,38.551184
"16",20,20,"BA13A","Tulip poplar",2,"33%","Canopy",-78.179579,38.550865
"25",29,29,"BA2","Tulip poplar",1,"12%","Canopy",-78.186778,38.549867
"29",33,33,"BA3","Tulip poplar",1,"17%","Canopy",-78.189005,38.548276
"37",41,41,"BA5","Tulip poplar",1,"17%","Canopy",-78.18802,38.5543
"42",46,46,"BA7","Tulip poplar",1,"9%","Canopy",-78.18992,38.558188
"46",50,50,"BA8","Tulip poplar",4,"50%","Canopy",-78.190431,38.560391
"70",74,74,"BH9","Tulip poplar",2,"50%","Canopy",-78.1879161,38.58195625
"74",78,78,"BN1","Tulip poplar",5,"56%","Canopy",-78.16694849,38.58688147
"77",81,81,"BN10","Tulip poplar",1,"33%","Canopy",-78.1745449,38.58667268
"81",85,85,"BN11","Tulip poplar",1,"20%","Canopy",-78.17227227,38.58382048
"90",94,94,"BN14","Tulip poplar",2,"29%","Canopy",-78.16926998,38.5863201
"93",97,97,"BN15","Tulip poplar",3,"60%","Canopy",-78.1728146,38.58511498
"102",106,106,"BN4","Tulip poplar",2,"33%","Canopy",-78.17604931,38.58680683
"108",112,112,"BN5","Tulip poplar",2,"20%","Canopy",-78.17263268,38.58810222
"112",116,116,"BN6","Tulip poplar",2,"40%","Canopy",-78.16906067,38.58941263
"128",132,132,"BU4","Tulip poplar",2,"67%","Canopy",-78.17609277,38.57524744
"135",139,139,"BU8","Tulip poplar",2,"22%","Canopy",-78.18484856,38.57288159
"138",142,142,"BU9","Tulip poplar",3,"50%","Canopy",-78.18492793,38.56794906
"160",175,175,"CR4","Tulip poplar",2,"33%","Canopy",-78.215285,38.563199
"164",179,179,"CR6","Tulip poplar",2,"33%","Canopy",-78.214129,38.565336
"181",196,196,"FL11","Tulip poplar",1,"17%","Canopy",-78.20597131,38.63162464
"190",205,205,"FL3","Tulip poplar",3,"23%","Canopy",-78.20692369,38.63291757
"197",212,212,"FL5","Tulip poplar",1,"25%","Canopy",-78.20706672,38.63029763
"204",219,219,"FL8","Tulip poplar",1,"25%","Canopy",-78.20378725,38.63254875
"208",223,223,"FL9","Tulip poplar",2,"29%","Canopy",-78.20322248,38.63504511
"218",233,233,"FM2","Tulip poplar",1,"25%","Canopy",-78.20525799,38.62232039
"220",235,235,"FM3","Tulip poplar",8,"53%","Canopy",-78.20257623,38.62387657
"224",239,239,"FM4","Tulip poplar",1,"12%","Canopy",-78.20431593,38.62630573
"245",262,262,"GS3","Tulip poplar",1,"14%","Canopy",-78.172286,38.545508
