"","OBJECTID","Field1","ID","Species","n","freq","Class","X","Y"
"4",4,4,"BA10","Red maple",1,"12%","Canopy",-78.178317,38.555405
"7",7,7,"BA11","Red maple",2,"20%","Canopy",-78.176861,38.5542
"12",12,12,"BA12","Red maple",2,"33%","Canopy",-78.178147,38.551184
"15",19,19,"BA13A","Red maple",1,"17%","Canopy",-78.179579,38.550865
"22",26,26,"BA2","Red maple",2,"25%","Canopy",-78.186778,38.549867
"36",40,40,"BA5","Red maple",2,"33%","Canopy",-78.18802,38.5543
"45",49,49,"BA8","Red maple",2,"25%","Canopy",-78.190431,38.560391
"72",76,76,"BN1","Red maple",1,"11%","Canopy",-78.16694849,38.58688147
"84",88,88,"BN12","Red maple",1,"17%","Canopy",-78.16896708,38.58535318
"88",92,92,"BN14","Red maple",1,"14%","Canopy",-78.16926998,38.5863201
"106",110,110,"BN5","Red maple",1,"10%","Canopy",-78.17263268,38.58810222
"122",126,126,"BU1","Red maple",2,"29%","Canopy",-78.17656221,38.58223068
"134",138,138,"BU8","Red maple",1,"11%","Canopy",-78.18484856,38.57288159
"146",161,161,"CR12","Red maple",7,"64%","Canopy",-78.219012,38.564658
"152",167,167,"CR2","Red maple",1,"10%","Canopy",-78.211759,38.564195
"159",174,174,"CR4","Red maple",2,"33%","Canopy",-78.215285,38.563199
"163",178,178,"CR6","Red maple",2,"33%","Canopy",-78.214129,38.565336
"175",190,190,"FL10","Red maple",1,"12%","Canopy",-78.20475436,38.63386269
"185",200,200,"FL2","Red maple",1,"25%","Canopy",-78.20518141,38.63400567
"188",203,203,"FL3","Red maple",6,"46%","Canopy",-78.20692369,38.63291757
"194",209,209,"FL4","Red maple",1,"10%","Canopy",-78.20539943,38.63129704
"207",222,222,"FL9","Red maple",2,"29%","Canopy",-78.20322248,38.63504511
"212",227,227,"FM10","Red maple",1,"25%","Canopy",-78.19872507,38.62971619
"219",234,234,"FM3","Red maple",7,"47%","Canopy",-78.20257623,38.62387657
"223",238,238,"FM4","Red maple",2,"25%","Canopy",-78.20431593,38.62630573
"239",254,254,"FM9","Red maple",1,"4%","Canopy",-78.20198681,38.6277055
"243",260,260,"GS3","Red maple",2,"29%","Canopy",-78.172286,38.545508
"246",263,263,"GS4","Red maple",1,"14%","Canopy",-78.169895,38.547087
"251",268,268,"GS5","Red maple",1,"11%","Canopy",-78.178616,38.544055
"261",278,278,"GS8","Red maple",3,"50%","Canopy",-78.176944,38.542294
"279",296,296,"HW3","Red maple",1,"25%","Canopy",-78.19851357,38.58663849
"282",299,299,"HW4","Red maple",1,"17%","Canopy",-78.19673378,38.58442414
"289",306,306,"HW7","Red maple",1,"17%","Canopy",-78.1954092,38.58320865
"321",338,338,"JM3","Red maple",1,"8%","Canopy",-78.22677,38.607791
"385",402,402,"QW9","Red maple",1,"17%","Canopy",-78.19407052,38.57117772
"388",405,405,"RK10","Red maple",2,"40%","Canopy",-78.222795,38.550032
"402",419,419,"RK4","Red maple",2,"22%","Canopy",-78.221328,38.550192
"411",428,428,"RK6","Red maple",2,"33%","Canopy",-78.218618,38.550711
"415",432,432,"RK9","Red maple",1,"25%","Canopy",-78.218171,38.549081
"424",441,441,"RMH2","Red maple",2,"29%","Canopy",-78.19528747,38.60379676
"437",454,454,"RMH8","Red maple",1,"20%","Canopy",-78.19751883,38.59819537
"439",456,456,"RMH9","Red maple",2,"40%","Canopy",-78.19929885,38.59692967
"445",462,462,"RMM10","Red maple",3,"60%","Canopy",-78.20029258,38.60108755
"465",482,482,"SL12","Red maple",1,"17%","Canopy",-78.19853844,38.61886169
"474",491,491,"SL3","Red maple",1,"12%","Canopy",-78.19480652,38.62012551
"487",504,504,"SL6","Red maple",3,"43%","Canopy",-78.1934786,38.61690617
"498",515,515,"SM13","Red maple",1,"20%","Canopy",-78.20325499,38.58975668
"507",524,524,"SM2","Red maple",1,"50%","Canopy",-78.2025508,38.58986222
"511",528,528,"SM5","Red maple",2,"29%","Canopy",-78.20860482,38.59199634
"513",530,530,"SM6","Red maple",5,"71%","Canopy",-78.20847498,38.59501962
"520",537,537,"SM9","Red maple",1,"14%","Canopy",-78.20029856,38.59130149
"530",547,547,"SMH2","Red maple",1,"9%","Canopy",-78.19707525,38.5934167
"540",557,557,"SMH6","Red maple",1,"17%","Canopy",-78.19499268,38.59339084
"544",561,561,"SMH8","Red maple",2,"40%","Canopy",-78.19525866,38.59151318
"547",564,564,"SMH9","Red maple",1,"9%","Canopy",-78.19606692,38.59254544
"555",572,572,"SMH2A","Red maple",2,"25%","Canopy",-78.19577,38.59363
"581",598,598,"WM1","Red maple",3,"27%","Canopy",-78.212743,38.542724
"584",601,601,"WM10","Red maple",1,"20%","Canopy",-78.213597,38.5461
"590",607,607,"WM12","Red maple",1,"17%","Canopy",-78.209145,38.557582
"592",609,609,"WM13","Red maple",1,"17%","Canopy",-78.218045,38.547809
"608",625,623,"WM5","Red maple",1,"33%","Canopy",-78.209635,38.555795
"323",340,340,"JM3","Striped maple",4,"31%","Canopy",-78.22677,38.607791
"514",531,531,"SM6","Striped maple",1,"14%","Canopy",-78.20847498,38.59501962
"522",539,539,"SM9","Striped maple",1,"14%","Canopy",-78.20029856,38.59130149
"186",201,201,"FL3","Boxelder",1,"8%","Canopy",-78.20692369,38.63291757
"345",362,362,"PT3","Boxelder",1,"25%","Canopy",-78.21255115,38.6352482
"490",507,507,"SL8","Maple spp.",1,"25%","Canopy",-78.19564345,38.61477874
