"","OBJECTID","Field1","ID","Species","n","freq","Class","X","Y"
"140",144,144,"BW1","Black gum",2,"50%","Canopy",-78.19703,38.5693
"330",347,347,"JM6","Black gum",1,"20%","Canopy",-78.220892,38.613015
"405",422,422,"RK5","Black gum",2,"25%","Canopy",-78.219692,38.549409
"40",44,44,"BA7","Blackgum",1,"9%","Canopy",-78.18992,38.558188
"66",70,70,"BH8","Blackgum",1,"25%","Canopy",-78.18821994,38.58057698
"78",82,82,"BN11","Blackgum",1,"20%","Canopy",-78.17227227,38.58382048
"104",108,108,"BN5","Blackgum",2,"20%","Canopy",-78.17263268,38.58810222
"114",118,118,"BN8","Blackgum",2,"22%","Canopy",-78.16820377,38.58983726
"117",121,121,"BN9","Blackgum",1,"33%","Canopy",-78.17130794,38.58824803
"121",125,125,"BU1","Blackgum",3,"43%","Canopy",-78.17656221,38.58223068
"149",164,164,"CR2","Blackgum",1,"10%","Canopy",-78.211759,38.564195
"162",177,177,"CR6","Blackgum",2,"33%","Canopy",-78.214129,38.565336
"180",195,195,"FL11","Blackgum",1,"17%","Canopy",-78.20597131,38.63162464
"206",221,221,"FL9","Blackgum",2,"29%","Canopy",-78.20322248,38.63504511
"216",231,231,"FM2","Blackgum",2,"50%","Canopy",-78.20525799,38.62232039
"235",250,250,"FM9","Blackgum",1,"4%","Canopy",-78.20198681,38.6277055
"249",266,266,"GS5","Blackgum",3,"33%","Canopy",-78.178616,38.544055
"255",272,272,"GS6","Blackgum",2,"20%","Canopy",-78.180108,38.543187
"288",305,305,"HW7","Blackgum",1,"17%","Canopy",-78.1954092,38.58320865
"306",323,323,"JM14","Blackgum",1,"14%","Canopy",-78.221769,38.606957
"325",342,342,"JM4","Blackgum",1,"14%","Canopy",-78.222904,38.610793
"333",350,350,"JM8","Blackgum",3,"30%","Canopy",-78.22781,38.609893
"344",361,361,"PT3","Blackgum",3,"75%","Canopy",-78.21255115,38.6352482
"363",380,380,"QW10","Blackgum",2,"25%","Canopy",-78.19268741,38.57015683
"396",413,413,"RK2","Blackgum",1,"25%","Canopy",-78.220671,38.548107
"472",489,489,"SL3","Blackgum",3,"38%","Canopy",-78.19480652,38.62012551
"478",495,495,"SL4","Blackgum",1,"10%","Canopy",-78.19612502,38.61897473
"482",499,499,"SL5","Blackgum",1,"17%","Canopy",-78.19477474,38.61786737
"506",523,523,"SM2","Blackgum",1,"50%","Canopy",-78.2025508,38.58986222
"510",527,527,"SM5","Blackgum",2,"29%","Canopy",-78.20860482,38.59199634
"529",546,546,"SMH2","Blackgum",4,"36%","Canopy",-78.19707525,38.5934167
"538",555,555,"SMH6","Blackgum",2,"33%","Canopy",-78.19499268,38.59339084
"553",570,570,"SMH2A","Blackgum",2,"25%","Canopy",-78.19577,38.59363
"560",577,577,"SMS3","Blackgum",1,"50%","Canopy",-78.20641206,38.58132046
"583",600,600,"WM10","Blackgum",3,"60%","Canopy",-78.213597,38.5461
"605",622,620,"WM4","Blackgum",1,"25%","Canopy",-78.211492,38.551358
"610",627,625,"WM6","Blackgum",1,"20%","Canopy",-78.205809,38.55837
"618",635,633,"WM9","Blackgum",1,"25%","Canopy",-78.211462,38.553962
