"","OBJECTID","Field1","ID","Species","n","freq","Class","X","Y"
"133",137,137,"BU8","Black cherry",2,"22%","Canopy",-78.18484856,38.57288159
"139",143,143,"BW1","Black cherry",1,"25%","Canopy",-78.19703,38.5693
"148",163,163,"CR2","Black cherry",1,"10%","Canopy",-78.211759,38.564195
"169",184,184,"FL1","Black cherry",1,"17%","Canopy",-78.20325722,38.63546991
"183",198,198,"FL2","Black cherry",2,"50%","Canopy",-78.20518141,38.63400567
"192",207,207,"FL4","Black cherry",2,"20%","Canopy",-78.20539943,38.63129704
"201",216,216,"FL8","Black cherry",1,"25%","Canopy",-78.20378725,38.63254875
"205",220,220,"FL9","Black cherry",1,"14%","Canopy",-78.20322248,38.63504511
"318",335,335,"JM2","Black cherry",1,"14%","Canopy",-78.22392,38.606527
"353",370,370,"PT6","Black cherry",1,"25%","Canopy",-78.21278701,38.6329028
"357",374,374,"PT9","Black cherry",1,"14%","Canopy",-78.21439094,38.63415462
"381",398,398,"QW9","Black cherry",1,"17%","Canopy",-78.19407052,38.57117772
"386",403,403,"RK1","Black cherry",1,"100%","Canopy",-78.219118,38.547261
"394",411,411,"RK12","Black cherry",1,"50%","Canopy",-78.219249,38.551694
"579",596,596,"WM1","Black cherry",1,"9%","Canopy",-78.212743,38.542724
