"","OBJECTID","Field1","ID","Species","n","freq","Class","X","Y"
"18",22,22,"BA13A","White oak",1,"17%","Canopy",-78.179579,38.550865
"26",30,30,"BA2","White oak",1,"12%","Canopy",-78.186778,38.549867
"30",34,34,"BA3","White oak",2,"33%","Canopy",-78.189005,38.548276
"52",56,56,"BH10","White oak",1,"12%","Canopy",-78.18865501,38.58322526
"57",61,61,"BH12","White oak",2,"40%","Canopy",-78.19000499,38.5841209
"63",67,67,"BH5","White oak",1,"25%","Canopy",-78.18864891,38.57920457
"96",100,100,"BN2","White oak",1,"33%","Canopy",-78.17054423,38.5855242
"119",123,123,"BN9","White oak",1,"33%","Canopy",-78.17130794,38.58824803
"147",162,162,"CR12","White oak",1,"9%","Canopy",-78.219012,38.564658
"178",193,193,"FL10","White oak",1,"12%","Canopy",-78.20475436,38.63386269
"182",197,197,"FL11","White oak",3,"50%","Canopy",-78.20597131,38.63162464
"213",228,228,"FM10","White oak",1,"25%","Canopy",-78.19872507,38.62971619
"271",288,288,"HW11","White oak",2,"29%","Canopy",-78.19808123,38.58463793
"275",292,292,"HW12","White oak",1,"12%","Canopy",-78.19631707,38.58373775
"285",302,302,"HW4","White oak",2,"33%","Canopy",-78.19673378,38.58442414
"292",309,309,"HW7","White oak",1,"17%","Canopy",-78.1954092,38.58320865
"297",314,314,"HW9","White oak",1,"12%","Canopy",-78.19471473,38.58482218
"338",355,355,"JM8","White oak",1,"10%","Canopy",-78.22781,38.609893
"370",387,387,"QW14","White oak",4,"100%","Canopy",-78.19125049,38.56992597
"393",410,410,"RK11","White oak",3,"50%","Canopy",-78.21937,38.548485
"398",415,415,"RK2","White oak",1,"25%","Canopy",-78.220671,38.548107
"409",426,426,"RK5","White oak",2,"25%","Canopy",-78.219692,38.549409
"431",448,448,"RMH4","White oak",1,"14%","Canopy",-78.1987684,38.60361962
"476",493,493,"SL3","White oak",2,"25%","Canopy",-78.19480652,38.62012551
"526",543,543,"SMH1","White oak",1,"50%","Canopy",-78.19602887,38.59419346
"532",549,549,"SMH2","White oak",2,"18%","Canopy",-78.19707525,38.5934167
"535",552,552,"SMH4","White oak",5,"56%","Canopy",-78.19568937,38.59288103
"546",563,563,"SMH8","White oak",1,"20%","Canopy",-78.19525866,38.59151318
"551",568,568,"SMH9","White oak",2,"18%","Canopy",-78.19606692,38.59254544
"556",573,573,"SMH2A","White oak",2,"25%","Canopy",-78.19577,38.59363
"571",588,588,"SMS6","White oak",1,"11%","Canopy",-78.20270522,38.58126096
"599",616,616,"WM15","White oak",1,"20%","Canopy",-78.216761,38.550086
