"","OBJECTID","Field1","ID","Species","n","freq","Class","X","Y"
"2",2,2,"BA10","Chestnut oak",6,"75%","Canopy",-78.178317,38.555405
"5",5,5,"BA11","Chestnut oak",2,"20%","Canopy",-78.176861,38.5542
"71",75,75,"BN1","Chestnut oak",1,"11%","Canopy",-78.16694849,38.58688147
"79",83,83,"BN11","Chestnut oak",1,"20%","Canopy",-78.17227227,38.58382048
"83",87,87,"BN12","Chestnut oak",2,"33%","Canopy",-78.16896708,38.58535318
"118",122,122,"BN9","Chestnut oak",1,"33%","Canopy",-78.17130794,38.58824803
"123",127,127,"BU10","Chestnut oak",1,"17%","Canopy",-78.17936884,38.57299552
"209",224,224,"FM1","Chestnut oak",2,"20%","Canopy",-78.20337762,38.61993806
"211",226,226,"FM10","Chestnut oak",2,"50%","Canopy",-78.19872507,38.62971619
"221",236,236,"FM4","Chestnut oak",2,"25%","Canopy",-78.20431593,38.62630573
"229",244,244,"FM6","Chestnut oak",1,"20%","Canopy",-78.20909381,38.62727256
"231",246,246,"FM7","Chestnut oak",2,"67%","Canopy",-78.20720401,38.62486471
"250",267,267,"GS5","Chestnut oak",3,"33%","Canopy",-78.178616,38.544055
"256",273,273,"GS6","Chestnut oak",1,"10%","Canopy",-78.180108,38.543187
"326",343,343,"JM4","Chestnut oak",4,"57%","Canopy",-78.222904,38.610793
"390",407,407,"RK11","Chestnut oak",1,"17%","Canopy",-78.21937,38.548485
"428",445,445,"RMH4","Chestnut oak",1,"14%","Canopy",-78.1987684,38.60361962
"449",466,466,"RMM3","Chestnut oak",1,"20%","Canopy",-78.19924615,38.60344121
"455",472,472,"RMM6","Chestnut oak",4,"80%","Canopy",-78.19819798,38.59960719
"469",486,486,"SL2","Chestnut oak",1,"20%","Canopy",-78.19612753,38.62125195
"479",496,496,"SL4","Chestnut oak",2,"20%","Canopy",-78.19612502,38.61897473
"483",500,500,"SL5","Chestnut oak",1,"17%","Canopy",-78.19477474,38.61786737
"501",518,518,"SM14","Chestnut oak",1,"20%","Canopy",-78.2024675,38.59140869
"614",631,629,"WM8","Chestnut oak",1,"17%","Canopy",-78.214997,38.55092
"619",636,634,"WM9","Chestnut oak",3,"75%","Canopy",-78.211462,38.553962
