"","OBJECTID","Field1","ID","Species","n","freq","Class","X","Y"
"336",353,353,"JM8","Northern red oak",1,"10%","Canopy",-78.22781,38.609893
"407",424,424,"RK5","Northern red oak",1,"12%","Canopy",-78.219692,38.549409
"8",8,8,"BA11","Red oak",1,"10%","Canopy",-78.176861,38.5542
"23",27,27,"BA2","Red oak",1,"12%","Canopy",-78.186778,38.549867
"41",45,45,"BA7","Red oak",1,"9%","Canopy",-78.18992,38.558188
"51",55,55,"BH10","Red oak",2,"25%","Canopy",-78.18865501,38.58322526
"62",66,66,"BH5","Red oak",1,"25%","Canopy",-78.18864891,38.57920457
"76",80,80,"BN10","Red oak",1,"33%","Canopy",-78.1745449,38.58667268
"98",102,102,"BN3","Red oak",1,"33%","Canopy",-78.17397497,38.58400707
"101",105,105,"BN4","Red oak",1,"17%","Canopy",-78.17604931,38.58680683
"107",111,111,"BN5","Red oak",2,"20%","Canopy",-78.17263268,38.58810222
"153",168,168,"CR2","Red oak",2,"20%","Canopy",-78.211759,38.564195
"176",191,191,"FL10","Red oak",1,"12%","Canopy",-78.20475436,38.63386269
"244",261,261,"GS3","Red oak",2,"29%","Canopy",-78.172286,38.545508
"252",269,269,"GS5","Red oak",1,"11%","Canopy",-78.178616,38.544055
"262",279,279,"GS8","Red oak",1,"17%","Canopy",-78.176944,38.542294
"322",339,339,"JM3","Red oak",1,"8%","Canopy",-78.22677,38.607791
"470",487,487,"SL2","Red oak",1,"20%","Canopy",-78.19612753,38.62125195
"484",501,501,"SL5","Red oak",1,"17%","Canopy",-78.19477474,38.61786737
"503",520,520,"SM14","Red oak",2,"40%","Canopy",-78.2024675,38.59140869
"521",538,538,"SM9","Red oak",1,"14%","Canopy",-78.20029856,38.59130149
"531",548,548,"SMH2","Red oak",3,"27%","Canopy",-78.19707525,38.5934167
"548",565,565,"SMH9","Red oak",1,"9%","Canopy",-78.19606692,38.59254544
"591",608,608,"WM12","Red oak",1,"17%","Canopy",-78.209145,38.557582
"612",629,627,"WM6","Red oak",1,"20%","Canopy",-78.205809,38.55837
