"","OBJECTID","Field1","ID","Species","n","freq","Class","X","Y"
"34",38,38,"BA5","Black oak",1,"17%","Canopy",-78.18802,38.5543
"39",43,43,"BA7","Black oak",1,"9%","Canopy",-78.18992,38.558188
"44",48,48,"BA8","Black oak",1,"12%","Canopy",-78.190431,38.560391
"91",95,95,"BN15","Black oak",1,"20%","Canopy",-78.1728146,38.58511498
"99",103,103,"BN4","Black oak",1,"17%","Canopy",-78.17604931,38.58680683
"103",107,107,"BN5","Black oak",2,"20%","Canopy",-78.17263268,38.58810222
"120",124,124,"BU1","Black oak",2,"29%","Canopy",-78.17656221,38.58223068
"173",188,188,"FL10","Black oak",1,"12%","Canopy",-78.20475436,38.63386269
"179",194,194,"FL11","Black oak",1,"17%","Canopy",-78.20597131,38.63162464
"228",243,243,"FM6","Black oak",2,"40%","Canopy",-78.20909381,38.62727256
"264",281,281,"HW1","Black oak",2,"40%","Canopy",-78.19969215,38.58467681
"358",375,375,"PT9","Black oak",3,"43%","Canopy",-78.21439094,38.63415462
"410",427,427,"RK6","Black oak",3,"50%","Canopy",-78.218618,38.550711
"421",438,438,"RMH2","Black oak",1,"14%","Canopy",-78.19528747,38.60379676
"435",452,452,"RMH8","Black oak",1,"20%","Canopy",-78.19751883,38.59819537
"444",461,461,"RMM10","Black oak",1,"20%","Canopy",-78.20029258,38.60108755
"448",465,465,"RMM3","Black oak",1,"20%","Canopy",-78.19924615,38.60344121
"454",471,471,"RMM6","Black oak",1,"20%","Canopy",-78.19819798,38.59960719
"457",474,474,"RMM8","Black oak",1,"50%","Canopy",-78.19918648,38.60010032
"464",481,481,"SL12","Black oak",1,"17%","Canopy",-78.19853844,38.61886169
"477",494,494,"SL4","Black oak",2,"20%","Canopy",-78.19612502,38.61897473
"500",517,517,"SM14","Black oak",1,"20%","Canopy",-78.2024675,38.59140869
"504",521,521,"SM15","Black oak",1,"33%","Canopy",-78.20884803,38.59040434
"528",545,545,"SMH2","Black oak",1,"9%","Canopy",-78.19707525,38.5934167
"588",605,605,"WM12","Black oak",1,"17%","Canopy",-78.209145,38.557582
