"","OBJECTID","Field1","ID","Species","n","freq","Class","X","Y"
"10",10,10,"BA11","White pine",1,"10%","Canopy",-78.176861,38.5542
"27",31,31,"BA2","White pine",1,"12%","Canopy",-78.186778,38.549867
"43",47,47,"BA7","White pine",7,"64%","Canopy",-78.18992,38.558188
"47",51,51,"BA8","White pine",1,"12%","Canopy",-78.190431,38.560391
"82",86,86,"BN11","White pine",1,"20%","Canopy",-78.17227227,38.58382048
"85",89,89,"BN12","White pine",3,"50%","Canopy",-78.16896708,38.58535318
"116",120,120,"BN8","White pine",6,"67%","Canopy",-78.16820377,38.58983726
"210",225,225,"FM1","White pine",8,"80%","Canopy",-78.20337762,38.61993806
"225",240,240,"FM4","White pine",1,"12%","Canopy",-78.20431593,38.62630573
"230",245,245,"FM6","White pine",2,"40%","Canopy",-78.20909381,38.62727256
"248",265,265,"GS4","White pine",1,"14%","Canopy",-78.169895,38.547087
"293",310,310,"HW7","White pine",1,"17%","Canopy",-78.1954092,38.58320865
"301",318,318,"JM11","White pine",2,"25%","Canopy",-78.217368,38.611351
"446",463,463,"RMM10","White pine",1,"20%","Canopy",-78.20029258,38.60108755
"451",468,468,"RMM3","White pine",1,"20%","Canopy",-78.19924615,38.60344121
"536",553,553,"SMH4","White pine",2,"22%","Canopy",-78.19568937,38.59288103
"552",569,569,"SMH9","White pine",5,"45%","Canopy",-78.19606692,38.59254544
"575",592,592,"SMS7","White pine",1,"14%","Canopy",-78.20095706,38.58259881
"595",612,612,"WM13","White pine",1,"17%","Canopy",-78.218045,38.547809
