"","OBJECTID","Field1","ID","Species","n","freq","Class","X","Y"
"31",35,35,"BA4","Black walnut",1,"14%","Canopy",-78.185226,38.552771
"141",145,145,"BW1","Black walnut",1,"25%","Canopy",-78.19703,38.5693
"380",397,397,"QW8","Black walnut",1,"14%","Canopy",-78.19290446,38.57338422
"406",423,423,"RK5","Black walnut",1,"12%","Canopy",-78.219692,38.549409
"492",509,509,"SL9","Black walnut",2,"67%","Canopy",-78.19830825,38.61667681
"580",597,597,"WM1","Black walnut",1,"9%","Canopy",-78.212743,38.542724
"607",624,622,"WM5","Black walnut",1,"33%","Canopy",-78.209635,38.555795
"161",176,176,"CR5","Walnut",2,"100%","Canopy",-78.21414,38.561834
"313",330,330,"JM16","Walnut",1,"14%","Canopy",-78.226217,38.605819
"337",354,354,"JM8","Walnut",1,"10%","Canopy",-78.22781,38.609893
"400",417,417,"RK3","Walnut",2,"67%","Canopy",-78.222398,38.548961
"518",535,535,"SM7","Walnut",2,"33%","Canopy",-78.20880512,38.58880261
