OBJECTID,Name,FolderPath,SymbolID,AltMode,Base,Snippet,PopupInfo,HasLabel,LabelID,X,Y
1,BU 7,Document,0,-1,0,,,-1,0,-78.18164074,38.57043412
2,SL 7,Document,0,-1,0,,,-1,0,-78.19057238,38.61490048
3,RK11,Document,0,-1,0,,,-1,0,-78.21937,38.548485
4,RMH 2 - grazed,Document,0,-1,0,,,-1,0,-78.19528747,38.60379676
5,BH4,Document,0,-1,0,,,-1,0,-78.18985608,38.57817011
6,QW10,Document,0,-1,0,,,-1,0,-78.19268741,38.57015683
7,BA7,Document,0,-1,0,,,-1,0,-78.18992,38.558188
8,SM13,Document,0,-1,0,,,-1,0,-78.20325499,38.58975668
9,SMH4,Document,0,-1,0,,,-1,0,-78.19568937,38.59288103
10,SMS4,Document,0,-1,0,,,-1,0,-78.20462425,38.58263361
11,BH7,Document,0,-1,0,,,-1,0,-78.19203332,38.57973698
12,SM6,Document,0,-1,0,,,-1,0,-78.20847498,38.59501962
13,RMM1 2,Document,0,-1,0,,,-1,0,-78.19995909,38.60399194
14,BN13,Document,0,-1,0,,,-1,0,-78.16558058,38.58743763
15,PT6,Document,0,-1,0,,,-1,0,-78.21278701,38.6329028
16,WM3,Document,0,-1,0,,,-1,0,-78.217219,38.542496
17,BA4,Document,0,-1,0,,,-1,0,-78.185226,38.552771
18,FM11,Document,0,-1,0,,,-1,0,-78.19452562,38.63015373
19,RK3,Document,0,-1,0,,,-1,0,-78.222398,38.548961
20,BH12,Document,0,-1,0,,,-1,0,-78.19000499,38.5841209
21,BN12,Document,0,-1,0,,,-1,0,-78.16896708,38.58535318
22,CR3,Document,0,-1,0,,,-1,0,-78.212646,38.562205
23,JM15,Document,0,-1,0,,,-1,0,-78.223376,38.605536
24,FL11,Document,0,-1,0,,,-1,0,-78.20597131,38.63162464
25,BA11,Document,0,-1,0,,,-1,0,-78.176861,38.5542
26,SL 5,Document,0,-1,0,,,-1,0,-78.19477474,38.61786737
27,HW7,Document,0,-1,0,,,-1,0,-78.1954092,38.58320865
28,RMM2 5,Document,0,-1,0,,,-1,0,-78.19918648,38.60010032
29,BN6,Document,0,-1,0,,,-1,0,-78.16906067,38.58941263
30,WM1,Document,0,-1,0,,,-1,0,-78.212743,38.542724
31,BH5,Document,0,-1,0,,,-1,0,-78.18864891,38.57920457
32,SM3,Document,0,-1,0,,,-1,0,-78.20462756,38.5884381
33,Slaughter Ctrl,Document,0,-1,0,,,-1,0,-78.19461883,38.62247486
34,HW10,Document,0,-1,0,,,-1,0,-78.19806542,38.58738005
35,WM15,Document,0,-1,0,,,-1,0,-78.216761,38.550086
36,PT8,Document,0,-1,0,,,-1,0,-78.21345245,38.6340508
37,GS 7,Document,0,-1,0,,,-1,0,-78.182176,38.544043
38,SMH3,Document,0,-1,0,,,-1,0,-78.19778454,38.59283467
39,BA10,Document,0,-1,0,,,-1,0,-78.178317,38.555405
40,SL 6,Document,0,-1,0,,,-1,0,-78.1934786,38.61690617
41,BH8,Document,0,-1,0,,,-1,0,-78.18821994,38.58057698
42,JM2,Document,0,-1,0,,,-1,0,-78.22392,38.606527
