Date,Stand Name,Plot ID,Surveyed YN,Species,"0.1-3"" DBH","3-4.9"" DBH",Comments,
NA,Butler Mtn Archer,BA1,N,NA,NA,NA,,
10/13/2025,Butler Mtn Archer,BA10,Y,Blackgum,1,1,,
10/13/2025,Butler Mtn Archer,BA10,Y,Hickory,1,0,,
10/13/2025,Butler Mtn Archer,BA10,Y,Ash,2,0,,
10/13/2025,Butler Mtn Archer,BA10,Y,Walnut,1,0,ID?,
10/13/2025,Butler Mtn Archer,BA10,Y,Red maple,1,0,Black walnut,
10/13/2025,Butler Mtn Archer,BA10,Y,Hickory,33,1,,
10/13/2025,Butler Mtn Archer,BA11,Y,Sweet birch,7,0,,
10/13/2025,Butler Mtn Archer,BA11,Y,Dogwood,1,0,,
10/13/2025,Butler Mtn Archer,BA11,Y,Chestnut oak,2,0,,
10/13/2025,Butler Mtn Archer,BA11,Y,Red maple,12,2,,
10/13/2025,Butler Mtn Archer,BA12,Y,Striped maple,1,0,,
10/13/2025,Butler Mtn Archer,BA12,Y,Hickory,7,0,,
10/13/2025,Butler Mtn Archer,BA12,Y,Dogwood,1,0,,
10/13/2025,Butler Mtn Archer,BA12,Y,Sweet birch,5,0,,
10/13/2025,Butler Mtn Archer,BA12,Y,Blackgum,1,0,,
10/13/2025,Butler Mtn Archer,BA12,Y,Tulip poplar,3,0,,
10/13/2025,Butler Mtn Archer,BA12,Y,Hornbeam,3,0,,
10/7/2025,Butler Mtn Archer,BA13,Y,Eastern redcedar,4,7,,
10/7/2025,Butler Mtn Archer,BA13,Y,Dogwood,1,1,,
10/7/2025,Butler Mtn Archer,BA13,Y,Dogwood,1,0,,
10/2/2025,Butler Mtn Archer,BA13A,Y,Hickory,1,0,,
10/2/2025,Butler Mtn Archer,BA13A,Y,Red maple,10,0,,
10/2/2025,Butler Mtn Archer,BA13A,Y,Sweet birch,19,0,,
10/2/2025,Butler Mtn Archer,BA13A,Y,Chestnut oak,4,0,,
10/2/2025,Butler Mtn Archer,BA13A,Y,Black oak,1,0,,
10/2/2025,Butler Mtn Archer,BA13A,Y,Black oak,4,0,,
10/2/2025,Butler Mtn Archer,BA13A,Y,White oak,1,0,,ID?
10/2/2025,Butler Mtn Archer,BA13A,Y,Beech,4,0,,
10/2/2025,Butler Mtn Archer,BA13A,Y,Red maple,2,0,,
NA,Butler Mtn Archer,BA14,N,NA,NA,NA,,
NA,Butler Mtn Archer,BA15,N,NA,NA,NA,,
9/29/2025,Butler Mtn Archer,BA2,Y,White pine,2,0,,
9/29/2025,Butler Mtn Archer,BA2,Y,Hornbeam,3,0,,
9/29/2025,Butler Mtn Archer,BA2,Y,Dogwood,3,0,,
9/29/2025,Butler Mtn Archer,BA2,Y,Birch,2,0,,
9/29/2025,Butler Mtn Archer,BA2,Y,Red maple,8,0,,
9/29/2025,Butler Mtn Archer,BA2,Y,Striped maple,0,1,,
10/8/2025,Butler Mtn Archer,BA3,Y,White oak,1,0,,
10/8/2025,Butler Mtn Archer,BA3,Y,Black oak,1,0,,
10/8/2025,Butler Mtn Archer,BA3,Y,Chestnut oak,3,0,,
10/8/2025,Butler Mtn Archer,BA3,Y,Hornbeam,1,0,,
10/8/2025,Butler Mtn Archer,BA3,Y,Redbud,2,0,,
10/8/2025,Butler Mtn Archer,BA3,Y,Black locust,1,0,,
10/8/2025,Butler Mtn Archer,BA3,Y,Hickory,1,0,,
10/8/2025,Butler Mtn Archer,BA3,Y,Tulip poplar,1,0,,
10/8/2025,Butler Mtn Archer,BA3,Y,Tulip poplar,1,0,,
10/7/2025,Butler Mtn Archer,BA4,Y,Tulip poplar,3,0,,
10/7/2025,Butler Mtn Archer,BA4,Y,Dogwood,0,1,,
10/7/2025,Butler Mtn Archer,BA4,Y,Blackgum,2,0,,
10/7/2025,Butler Mtn Archer,BA5,Y,Witch hazel,3,2,,
10/7/2025,Butler Mtn Archer,BA5,Y,Beech,6,0,,
10/7/2025,Butler Mtn Archer,BA5,Y,Black oak,15,0,,
10/7/2025,Butler Mtn Archer,BA5,Y,Blackhaw,1,0,,
NA,Butler Mtn Archer,BA6,N,NA,NA,NA,,
10/8/2025,Butler Mtn Archer,BA7,Y,Hornbeam,13,0,,
10/8/2025,Butler Mtn Archer,BA7,Y,White pine,7,0,,
