,Plot.ID,Species,n,rel.freq,Class
1,BA10,Chestnut oak,6,75%,Canopy
2,BA10,Hickory,1,12%,Canopy
3,BA10,Red maple,1,12%,Canopy
4,BA11,Chestnut oak,2,20%,Canopy
5,BA11,Hickory,2,20%,Canopy
6,BA11,Red maple,2,20%,Canopy
7,BA11,Red oak,1,10%,Canopy
8,BA11,Sweet birch,2,20%,Canopy
9,BA11,White pine,1,10%,Canopy
10,BA12,Eastern redcedar,1,17%,Canopy
11,BA12,Red maple,2,33%,Canopy
12,BA12,Tulip poplar,3,50%,Canopy
13,BA13,Black locust,1,17%,Canopy
14,BA13,Eastern redcedar,1,17%,Canopy
15,BA13,Tulip poplar,1,17%,Canopy
16,BA13,Virginia pine,3,50%,Canopy
17,BA13A,Hickory,1,17%,Canopy
18,BA13A,Red maple,1,17%,Canopy
19,BA13A,Tulip poplar,2,33%,Canopy
20,BA13A,Virginia pine,1,17%,Canopy
21,BA13A,White oak,1,17%,Canopy
22,BA2,Eastern hemlock,1,12%,Canopy
23,BA2,Red maple,2,25%,Canopy
24,BA2,Red oak,1,12%,Canopy
25,BA2,Sweet birch,1,12%,Canopy
26,BA2,Tulip poplar,1,12%,Canopy
27,BA2,White oak,1,12%,Canopy
28,BA2,White pine,1,12%,Canopy
29,BA3,Hickory,3,50%,Canopy
30,BA3,Tulip poplar,1,17%,Canopy
31,BA3,White oak,2,33%,Canopy
32,BA4,Black walnut,1,14%,Canopy
33,BA4,Hickory,5,71%,Canopy
34,BA4,Post oak,1,14%,Canopy
35,BA5,Black oak,1,17%,Canopy
36,BA5,Hickory,2,33%,Canopy
37,BA5,Red maple,2,33%,Canopy
38,BA5,Tulip poplar,1,17%,Canopy
39,BA7,Black oak,1,9%,Canopy
40,BA7,Blackgum,1,9%,Canopy
41,BA7,Red oak,1,9%,Canopy
42,BA7,Tulip poplar,1,9%,Canopy
43,BA7,White pine,7,64%,Canopy
44,BA8,Black oak,1,12%,Canopy
45,BA8,Red maple,2,25%,Canopy
